artists,name,genres
"Igor Stravinsky,  The Symphony Orchestra",Petrushka ‘Ballet Scenes’ Suite: V The Blackamoor’s Room,Unknown
"Claude Debussy,  Roger Desormière/Choeurs Yvonne Gouverné/Orchestre Symphonique de Paris,  Roger Desormiere,  Orchestre Symphonique De Paris","Pelléas et Mélisande (2006 Digital Remaster), Act V, Scene: Etes-vous seul dans...(Mélisande/Arkel/Golaud)",Unknown
P. Suribabu,Entha Ghorapathame,Unknown
Grigoris Asikis,Ta orfana,Unknown
"Francisco Canaro,  Charlo",Noches de Plata - Remasterizado,Unknown
Roza Eskenazi,Tavernarissa,Unknown
H.P. Lovecraft,Capítulo 3.5 & Capítulo 4.1 - el Que Susurraba en la Oscuridad,Unknown
"Giorgos Nakos,  Klarino- Nikos Karakostas",I Haido,Unknown
Serafim Gerotheodorou,Pios Ide Thavmata,Unknown
H.P. Lovecraft,Capítulo 6.4 & Capítulo 7.1 - el Que Susurraba en la Oscuridad,Unknown
Margarita Cueto,Queja Pampera,Unknown
"Francois Campion,  Julio Martinez Oyanguren",Gigue,Unknown
"Richard Strauss,  Bavarian State Orchestra",Don Quixote Op.35: V Variation IV: The Adventure with the Penitents,Unknown
"Francisco Canaro,  Charlo",Con Tu Mirar - Remasterizado,Unknown
Damia,Les Goélands,"june 2006 berep tag pre1960s treasures, Everyone BEREPs, talking-animal BEREPs, TrypToFrance, guinguette"
Dimitris Filipopoulos,"Riri, Ririka",Unknown
Κώστας Νούρος,Τα μάτια της Σμυρνιάς,Unknown
Robert David Hall,Ten O'Clock Train,Unknown
Serafim Gerotheodorou,Kira Frosini,Unknown
K.C.Dey,Ghana Ambare Megh Samudra,Unknown
Emery Cournard Serenaders,Why Me Craf Vex with Me,Unknown
Smt. Angurbala Devi,Ogo Priyotama Ogo Premomoy,Unknown
Rita Abatzi,Στην Αυστραλία μ' έστειλες,Unknown
Maurice Chevalier,Nouveau Bonheur,Unknown
"Los Yumbos,  Los Provincianos",Sicuris,Unknown
"Danai Stratigopoulou,  Panos Visvardis",Exeis Matakia,Unknown
"Francisco Canaro,  Charlo",Arequipa - Remasterizado,Unknown
"Felipe V. Rivera,  Orquesta Tipica Boliviana",La Jardinera,Unknown
Ignacio Corsini,Cuando Era Chiquito - Remasterizado,Unknown
"Claude Debussy,  Roger Desormière/Choeurs Yvonne Gouverné/Orchestre Symphonique de Paris,  Roger Desormiere,  Orchestre Symphonique De Paris","Pelléas et Mélisande (2006 Digital Remaster), Act IV, Scene Two: Maintenant que le père de Pelléas est sauvé et que la maladie (Arkel/Mélisande)",Unknown
"Camille Saint-Saëns,  National Symphony Orchestra New York,  Walter Damrosch",Henry VIII: Scottish Idyll - 1929 Recording,Unknown
"Ashok Kumar,  Rahmat Bano,  Arun Kumar",Aaj Mausam Salona Salona Re,Unknown
"Camille Saint-Saëns,  National Symphony Orchestra New York,  Walter Damrosch",Henry VIII: Introduction - Entrance of the Nobles - 1929 Recording,Unknown
"Cornélio Pires,  Pedro Massa",Desafio dos Caipiras,Unknown
Fréhel,Quand Il Joue De L'accordéon,Frehel
Ignacio Corsini,Primer Auxilio - Remasterizado,Unknown
Xavier Cugat & His Orchestra,Cuca,Unknown
Эрих Мария Ремарк,Часть 68.2 - На Западном фронте без перемен,Unknown
"Christoph Willibald Gluck,  National Symphony Orchestra New York,  Walter Damrosch","Iphigenie en Tauride, Wq. 46: Air - Dance of the Slaves - 1929 Recording",Unknown
Эрих Мария Ремарк,Часть 48.2 - На Западном фронте без перемен,Unknown
"Francisco Canaro,  Charlo",Tengo Miedo - Remasterizado,Unknown
Эрих Мария Ремарк,Часть 64.3 - На Западном фронте без перемен,Unknown
Эрих Мария Ремарк,Часть 25.3 & Часть 26.1 - На Западном фронте без перемен,Unknown
Francisco Canaro,Misa de Once - Remasterizado,Unknown
"Khursheed Bano,  Vasanti",Tere Liye Laai Hoon Sandesa,Unknown
Khursheed Bano,Nainon Se Naina Milake,Unknown
"Friedrich von Flotow,  Vienna State Opera Orchestra,  Leopold Reichwein",Martha: Overture - 1929 Recording,Unknown
"Edvard Grieg,  RIAS-Symphonie-Orchester,  Herbert Sandberg","From Holberg's Time, Suite for String Orchestra, Op. 40: Air",Unknown
Jorge Vadio,The Little Drummer Boy,Unknown
Clarence Williams & His Washboard Band,Livin' High,Unknown
"Francisco Canaro,  Charlo",El Viejo Zoilo - Remasterizado,Unknown
"Carl Maria von Weber,  Claudio Arrau,  Désiré Defauw,  Chicago Symphony Orchestra","Konzertstück for Piano and Orchestra in F Minor, Op. 79, J. 282: III. Adagio - Tempo di marcia",Unknown
"E. Moraiti,  Georgia Mittaki,  Klarino G. Anestopoulos,  Klarino KOstas Giaouzos,  Klarinos Nikos Karakostas",Pia Dolia Mana To Lege,Unknown
Λαϊκή Ορχήστρα Μιχάλη Φελουζή,Καταχανίστικος,Unknown
"Paul Bridgwater,  Brian Tatler",Somebody,Unknown
Vanmala,Gori Kathan Janam Sasural Ka,Unknown
Raquel Meller,La Pena,Unknown
"Edvard Grieg,  RIAS-Symphonie-Orchester,  Herbert Sandberg","From Holberg's Time, Suite for String Orchestra, Op. 40: Rigaudon",Unknown
"Edvard Grieg,  RIAS-Symphonie-Orchester,  Herbert Sandberg","From Holberg's Time, Suite for String Orchestra, Op. 40: Sarabande - Gavotte - Musette",Unknown
"Christoph Willibald Gluck,  National Symphony Orchestra New York,  Walter Damrosch","Iphigenie en Tauride, Wq. 46: Tambourin - Gavotte - Chaconne - 1929 Recording",Unknown
"Edvard Grieg,  RIAS-Symphonie-Orchester,  Herbert Sandberg","From Holberg's Time, Suite for String Orchestra, Op. 40: Praelude",Unknown
"Camille Saint-Saëns,  National Symphony Orchestra New York,  Walter Damrosch",Henry VIII: Dance of the Gypsies - 1929 Recording,Unknown
"Moritz Moszkowski,  National Symphony Orchestra New York,  Walter Damrosch",Perpetuum mobile - 1929 Recording,Unknown
