artista,nombre_cancion,genres
dominic fike,3 nights,"pop, indie pop, alternative pop, indie, alternative"
brytiago,asesina - remix,"Daddy Yankee, darell, anuel aa, ozuna"
joji,slow dancing in the dark,"alternative rnb, MySpotigramBot, joji, indie, soul"
sam smith,fire on fire,"pop, 2018, Love, queer, 2010s"
paulo londra,forever alone,Unknown
khalid,love lies (with normani),"rnb, soul, normani, Soundtrack, urban"
6ix9ine,"fefe (feat. nicki minaj, murda beatz)","Hip-Hop, rap, nicki minaj, post-nerdcore, Murdabeatz"
david guetta,better when you're gone,Unknown
post malone,wow. - remix,"Hip-Hop, hip hop, rap, tyga, post malone"
becky g,sin pijama,"Reggaeton, latin, latin pop, pop, sexy"
shawn mendes,lost in japan,"pop, Canadian, rnb, 2018, electropop"
manuel turizo,culpables,Unknown
tenacious d,hope,21st century in music
sebastian yatra,cristina,"pop, acoustic, Reggaeton, Colombia, latin pop"
juice wrld,lean wit me,"MySpotigramBot, Hip-Hop, rap, Juice WRLD, emo"
galantis,bones (feat. onerepublic),"pop, dance, OneRepublic, galantis"
billie eilish,come out and play,"indie, indie pop, 2010s, pop, alternative"
kodak black,calling my spirit,"mumble rap, kodak black, 2010s rap"
jowell & randy,dile la verdad,Unknown
chris brown,undecided,"Chris Brown, rnb, pop, urban, american"
boyinaband,empty,Unknown
lil peep,i've been waiting (w/ ilovemakonnen & fall out boy),"rock, pop rock, emo rap, 2019, hip hop"
luke combs,beautiful crazy,"male vocalists, country pop, contemporary country, country, 2010s"
zara larsson,don't worry bout me,"pop, dance, swedish, Tove Lo, bop"
guaynaa,rebota,"curifeo, curifeo Sócrates mamarre"
martin garrix,ocean (feat. khalid),"electronic, future bass, pop, soul, synthpop"
julia michaels,what a time (feat. niall horan),"pop, justin tranter, niall, My Music Library"
paloma mami,no te enamores,"Reggaeton, chile, pop chileno, paloma mami"
fat joe,attention,Unknown
ariana grande,ghostin,"pop, rnb, Ballad, art pop, ambient pop"
delta goodrem,think about you,"pop, australian, 2018, electronic, singer-songwriter"
tory lanez,talk to me (with rich the kid feat. lil wayne) - remix,"Lil Wayne, tory lanez, rich the kid"
kevin roldan,ppp,Unknown
rammstein,deutschland,"industrial metal, german, Rammstein, Neue Deutsche Harte, metal"
kygo,think about you (feat. valerie broussard),"tropical house, Kygo, Valerie Broussard"
post malone,candy paint,"trap, Hip-Hop, rap, 2017, MySpotigramBot"
dj khaled,no brainer,"rap, Hip-Hop, dance, hip hop, pop"
future,fine china,"MySpotigramBot, Juice WRLD"
soccer mommy,cool,"indie rock, indie pop, bedroom pop, indie, cute"
takeoff,insomnia,"rap, RIP, male vocalists, insomnia, 2018"
notd,so close,"pop, electronic, dance, dance-pop, House"
5 seconds of summer,lie to me (feat. julia michaels),Unknown
