artista,nombre_cancion,genres
6ix9ine,tati,"Hip-Hop, rap, 2018, Soundtrack, black metal"
eminem,greatest,"Hip-Hop, hip hop, rap, Eminem, 3 out of 5"
comethazine,walk,Unknown
luis fonsi,calypso,"rap, latin, Reggaeton, dancehall, latino"
lil wayne,don't cry (feat. xxxtentacion),"Lil Wayne, XXXTENTACION, Hip-Hop, emo, rap"
leslie grace,duro y suave,Reggaeton
justin quiles,no quiero amarte (feat. zion & lennox),"Reggaeton, 2018"
dave,funky friday,"rap, UK rap, electronic, Grime, days of the week"
metro boomin,space cadet (feat. gunna),"trap, rap, pop rap, gunna, Metro Boomin"
lany,malibu nights,"2018 single, oceanlike"
wild child,back & forth,Unknown
daddy yankee,dura - remix,"natti natasha, remix, Reggaeton, featuring, Becky G"
migos,motorsport,"rap, trap, Hip-Hop, hip hop, nicki minaj"
nav,champion (feat. travis scott),"MySpotigramBot, pop, rap, rnb, trap"
rae sremmurd,powerglide (feat. juicy j) - from sr3mm,"Hip-Hop, rap, trap, juicy j"
quavo,pass out (feat. 21 savage),"21 savage, quavo"
