name_artist,gen_artist
D. Smitty,['Faltante']
Los Pumas Del Norte,"['norteño-sax', 'cumbia norteña', 'norteño', 'corrido']"
The Survivors Of The Titanic,['Faltante']
Jane Berbié,"['opera', 'classical']"
Beth Carvalho,"['samba', 'pagode', 'mpb']"
Atlas Genius,['Faltante']
Paco Maroto,"['minimal techno', 'tech house']"
Brigitte Fontaine,"['french jazz', 'french pop', 'chanson']"
Ludwig Satz,['Faltante']
Larry Groce,"['lullaby', ""children's music""]"
Wippenberg,"['trance', 'progressive house']"
Nicholas Hammond,['musicals']
J.K. & Co.,"['new age', 'choral', 'classical']"
Gillian Knight,['opera']
Monroses String Orchestra,"['calypso', 'rocksteady']"
Bryan-Michael Cox,['Faltante']
Starkillers,['Faltante']
The Herbaliser,"['trip hop', 'downtempo', 'acid jazz', 'nu jazz']"
Trio Los Condes,"['bolero', 'latin folk']"
Compuphonic,['Faltante']
Pitapuram Nageshwara Rao,['Faltante']
Gavin Greenaway,['soundtrack']
Lord Kitchener,"['calypso', 'soca', 'rocksteady']"
DJ Lelewel,['Faltante']
Lara & Reyes,['flamenco']
Devinder,['Faltante']
The Waterboys,['celtic rock']
Bill Clifton,['bluegrass']
UMI,['opera']
Flor Silvestre,"['mariachi', 'ranchera', 'música mexicana', 'bolero']"
Hong Kong Philharmonic Orchestra,"['opera', 'orchestra', 'classical']"
The Stone Canyon Band,['country rock']
Pedro Massa,['sertanejo tradicional']
Batteriebetrieb,['hard techno']
Haveck,['Faltante']
Crusy,"['latin house', 'tech house', 'tribal house', 'bass house']"
Only Attitude Counts,"['hardcore', 'hardcore punk']"
Stacy Barthe,['Faltante']
Silversun Pickups,['Faltante']
Whisky The Ripper,['Faltante']
The Mighty Ryeders,['Faltante']
Sylvan Esso,['Faltante']
Garth Stevenson,['Faltante']
Alan Davies,['musicals']
Bunny Berigan and His Orchestra,"['big band', 'swing music']"
Avail,"['melodic hardcore', 'skate punk', 'punk', 'hardcore punk']"
Five A.M.,['Faltante']
Paul Hillemacher,['Faltante']
Charlie Hunter,"['jazz funk', 'acid jazz', 'jazz']"
Martin Grech,['Faltante']
The All-American Rejects,"['pop punk', 'emo', 'emo pop']"
Clarence Gatemouth Brown,"['blues', 'classic blues', 'modern blues', 'blues rock']"
Saba,"['power metal', 'metal', 'pirate metal', 'heavy metal', 'melodic metal', 'folk metal']"
Shakka,['Faltante']
Danny Chan,"['cantopop', 'c-pop']"
John Mogensen,['dansktop']
Cygnus X,['trance']
Kühnův dětský sbor,['Faltante']
The Hi-Los,"['vocal jazz', 'exotica']"
Sonny Stitt,"['bebop', 'jazz', 'hard bop', 'cool jazz', 'acid jazz']"
J-Kwon,['Faltante']
Απόστολος Καλδάρας,"['laïko', 'entehno']"
Eraserheads,"['opm', 'pinoy rock', 'pinoy alternative', 'harana', 'p-pop', 'kundiman']"
Alan Lomax,"['country blues', 'classic blues', 'blues', 'traditional music']"
Samuel J. Tone Barnes,['Faltante']
Kurt Elling,"['vocal jazz', 'jazz']"
Unknown Error,"['drum and bass', 'liquid funk', 'jungle']"
Memorecks,['Faltante']
Marco Dinero,['Faltante']
Dash Berlin,"['trance', 'big room', 'electronica']"
Blastoyz,"['psytrance', 'trance', 'progressive trance']"
The Corrs,['celtic rock']
J. Dash,['uk garage']
Jack Teagarden And His Orchestra,"['big band', 'swing music']"
Jennifer Hershman,['Faltante']
Buddy Brown,"['country hip hop', 'country']"
Change,"['bossa nova', 'smooth jazz']"
Factor Chandelier,"['folk punk', 'underground hip hop']"
James Rhodes,"['classical piano', 'classical']"
Xoros toy Pagonioy,['Faltante']
Jahloul Bouchikhi,['Faltante']
James Horner,['soundtrack']
Roderick Porter,['Faltante']
Satya Chowdhury,['Faltante']
Serge Reggiani,"['chanson', 'variété française']"
Robert Smale & His Orchestra,['Faltante']
Fiddler on the Roof Ensemble (1967),['Faltante']
Andre Nickatina,"['hyphy', 'west coast hip hop']"
Frank Arnold,['Faltante']
Nuengthida Sophon,"['thai pop', 't-pop']"
Nikki Jean,['Faltante']
Logg,['Faltante']
Newsies Original Broadway Cast,['musicals']
Lapreem,['Faltante']
Freda Payne,"['northern soul', 'motown']"
Danis,['orchestra']
I Monster,['Faltante']
Macy Maloy,['Faltante']
Wrabel,['Faltante']
Martyn Brabbins,['Faltante']
The Arctic Zone,['Faltante']
Anika Rizvi,['Faltante']
Dennis Kruissen,['Faltante']
Krono,['dub techno']
John Siket,['Faltante']
Jack Haley,['musicals']
Sócrates de Jesús,['Faltante']
Yung Bans,['cloud rap']
